post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:fb_product_set,attribute:pa_transparente,attribute_data:pa_transparente,attribute_default:pa_transparente
MATERA DE CERAMICA,matera-de-ceramica,,998,"Matera pocillo con plato en Cerámica, con tamaño de diámetro 14 cm, alto 11 cm.",MATERIAL: CERÁMICA,publish,,0,2021-06-04 22:12:56,1,closed,JA0011695,,,no,no,400,12000,,,14,,11,,,instock,no,no,,yes,taxable,991,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0011695-1.jpg ! alt :  ! title : JA0011695 ! desc :  ! caption : ,,https://decohouse.com.co/producto/matera-de-ceramica/,simple,,Cerámica|Jardinería > Macetas|Jardinería > Macetas > Macetas en cerámica,CERÁMICA|Decoración|hogar|jardinería|MATERO,,,,,
MATERA DE CERAMICA,matera-de-ceramica-2,,1002,"Matera pocillo con plato en Cerámica, con tamaño de diámetro 14 cm, alto 11 cm.",MATERIAL: CERÁMICA,publish,,0,2021-06-04 22:23:06,1,closed,JA0011696,,,no,no,1118,12000,,,14,,11,,,instock,no,no,,yes,taxable,991,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0011696.jpg ! alt :  ! title : JA0011696 ! desc :  ! caption : ,,https://decohouse.com.co/producto/matera-de-ceramica-2/,simple,,Cerámica|Jardinería > Macetas|Jardinería > Macetas > Macetas en cerámica,CERÁMICA|Decoración|hogar|jardinería|MATERO,,,,,
MATERA CERAMICA,matera-ceramica-4,,1004,"Matera cerámica, ideal para plantar suculentas.",MATERIAL: CERÁMICA,publish,,0,2021-06-04 22:31:22,1,closed,JA0011701,,,no,no,50,3900,,,7,,6,,,instock,no,no,,yes,taxable,988|998,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0011701.jpg ! alt :  ! title : JA0011701 ! desc :  ! caption : ,,https://decohouse.com.co/producto/matera-ceramica-4/,simple,,Cerámica|Jardinería > Macetas > Macetas en cerámica,CERÁMICA|Decoración|hogar|jardinería|MATERO,,,,,
JARRON DECORATIVO,jarron-decorativo,,1013,Jarrón decorativo en cerámica.,MATERIAL: CERÁMICA,publish,,0,2021-06-04 22:35:10,1,closed,DE0171458,,,no,no,20,26900,,,18,,18,,,instock,no,no,,yes,taxable,1021|1776,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0171458.jpg ! alt :  ! title : DE0171458 ! desc :  ! caption : ,,https://decohouse.com.co/producto/jarron-decorativo/,simple,,Decoración,Decoración|hogar|Jarron,,,Café,0|1|0,
JARRON DECORATIVO,jarron-decorativo-2,,1016,"Jarrón decorativo, para decorar nuestros espacios.",MATERIAL: CERÁMICA,publish,,0,2021-06-04 22:41:06,1,closed,DE0171460,,,no,no,13,29900,,,18,,18,,,instock,no,no,,yes,taxable,1018|1021,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0171460.jpg ! alt :  ! title : DE0171460 ! desc :  ! caption : ,,https://decohouse.com.co/producto/jarron-decorativo-2/,simple,,Decoración,hogar|jardinería|Jarron,,,Dorado,0|1|0,
JARRON SUCULENTA,jarron-suculenta-2,,1018,"Jarrón suculenta artificial, para decorar nuestro hogar.",MATERIAL: CERÁMICA,publish,,0,2021-06-04 22:44:42,1,closed,DE0290210,,,no,no,40,34900,,,22,,16,,,instock,no,no,,yes,taxable,1021|1023,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0290210.jpg ! alt :  ! title : DE0290210 ! desc :  ! caption : ,,https://decohouse.com.co/producto/jarron-suculenta-2/,simple,,Decoración,hogar|jardinería|Suculenta,,,Negro,0|1|0,
JARRON SUCULENTA,jarron-suculenta-3,,1021,"Jarrón suculenta artificial, ideal para decorar nuestros espacios.",MATERIAL: CERÁMICA,publish,,0,2021-06-04 22:51:35,1,closed,DE0290211,,,no,no,38,34900,,,,,,,,instock,no,no,,yes,taxable,1018|1023,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0290211.jpg ! alt :  ! title : DE0290211 ! desc :  ! caption : ,,https://decohouse.com.co/producto/jarron-suculenta-3/,simple,,Decoración,hogar|jardinería|Suculenta,,,Negro,0|1|0,
JARRON SUCULENTA,jarron-suculenta,,1023,"Jarrón con suculenta  artificial, para decorar todos tus espacios.",MATERIAL: PLASTICO,publish,,0,2021-06-06 0:11:33,1,closed,DE0290212,,,no,no,163,34900,,,14,,21,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0290212.jpg ! alt :  ! title : DE0290212 ! desc :  ! caption : ,,https://decohouse.com.co/producto/jarron-suculenta/,simple,,Decoración,hogar|jardinería|Jarron|Suculenta,,,Terra,0|1|0,
MATERA SUCULENTA,matera-suculenta,,1102,"Matero suculenta en cerámica, ideal para decorar todos nuestros espacios.",MATERIAL: CERAMICA,publish,,0,2021-06-06 2:19:39,1,closed,DE0290216,,,no,no,302,15900,,,8,,8,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0290216.jpg ! alt :  ! title : DE0290216 ! desc :  ! caption : ,,https://decohouse.com.co/producto/matera-suculenta/,simple,,Decoración|Jardinería,CERÁMICA|Decoración|hogar|jardinería|Suculenta,,,,,
CANDELABRO DECORATIVO,candelabro-decorativo-10,,1136,"Candelabro decorativo tradicional con 32 cm alto, con su hermoso diseño logra darle a nuestros espacios un toque clásico y atractivo.",MATERIAL: HIERRO,publish,,0,2021-06-06 2:54:46,1,closed,DE0410801,,,no,no,66,75000,,,16,,32,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0410801.jpg ! alt :  ! title : DE0410801 ! desc :  ! caption : ,,https://decohouse.com.co/producto/candelabro-decorativo-10/,simple,,Decoración,candelabro|Candelabros|Decoración|decorativo|hogar,,,,,
BANDEJA PIÑA DECORATIVA,bandeja-pina-decorativa,,1144,,MATERIAL:  CERÁMICA,publish,,0,2021-06-06 3:02:15,1,closed,DE0670175,,,no,no,16,24900,,,,14,20,,,instock,no,no,,yes,taxable,1995|1998,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0670175.jpg ! alt :  ! title : DE0670175 ! desc :  ! caption : ,,https://decohouse.com.co/producto/bandeja-pina-decorativa/,simple,,Decoración > Centro de mesa|Decoración,CERÁMICA|Decoración|hogar,,,,,
MATERO CON BASE,matero-con-base-3,,1155,"MATERO CON BASE, PARA DECORAR NUESTROS ESPACIOS Y DARLES UN TOQUE MODERNO.",MATERIAL: LATON,publish,,0,2021-06-06 13:41:32,1,closed,DE0011110,,,no,no,30,169900,,,,28,70,,,instock,no,no,,yes,taxable,871,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0011110-DORADO.jpg ! alt :  ! title : DE0011110-DORADO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/DE0011110-ROSADO-2.jpg ! alt :  ! title : DE0011110-ROSADO ! desc :  ! caption : ,,https://decohouse.com.co/producto/matero-con-base-3/,simple,,Jardinería|Jardinería > Macetas,Decoración|hogar|MATERO,,,Dorado,0|1|0,
MATERO SYNUE 9,mat-synue,,1269,"Matero synue 9 cm en plástico, tenemos gran variedad en colores.

&nbsp;",MATERIAL: PLASTICO,publish,,0,2021-06-06 16:27:14,1,closed,JA0010407,,,no,no,100,1800,,,9,,9,,,instock,no,no,,yes,taxable,1242|1191,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0010407.png ! alt :  ! title : JA0010407 ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/42-JA0010407-AGUA-MARINA.jpg ! alt :  ! title : 42-JA0010407-AGUA-MARINA ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/42-JA0010407-AZUL-CIELO.jpg ! alt :  ! title : 42-JA0010407-AZUL-CIELO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/42-JA0010407-BLANCO.jpg ! alt :  ! title : 42-JA0010407-BLANCO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/42-JA0010407-BRONCE.jpg ! alt :  ! title : 42-JA0010407-BRONCE ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/42-JA0010407-FUSIA.jpg ! alt :  ! title : 42-JA0010407-FUSIA ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/42-JA0010407-NARANJA.jpg ! alt :  ! title : 42-JA0010407-NARANJA ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/42-JA0010407-NEGRO.jpg ! alt :  ! title : 42-JA0010407-NEGRO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/42-JA0010407-VERDE-ORCURO.jpg ! alt :  ! title : 42-JA0010407-VERDE-ORCURO ! desc :  ! caption : ,,https://decohouse.com.co/producto/mat-synue/,simple,,Jardinería|Jardinería > Macetas|Jardinería > Macetas > Macetas Plasticas,hogar|jardinería|MATERO,,,Amarillo|Azul Oscuro|Blanco|Dorado|Fucsia|Naranja|Negro|Rojo|Verde Acido|Verde Fluorescente|Verde Oscuro|Violeta,0|1|1,
MACETA SYNUE,maceta-synue,,1283,"Matero Synge 15 cm plástico, tenemos gran variedad en colores.

¡No te quedes sin la tuya, todos nuestros productos son garantizados!

&nbsp;

&nbsp;",MATERIAL: PLASTICO,publish,,0,2021-06-06 17:01:44,1,closed,JA0010364,,,no,no,100,5900,,,15,,14,,,instock,no,no,,yes,taxable,1155|1191,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/ja0010364-02.png ! alt :  ! title : ja0010364-02 ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/43-JA0010364-AGUAMARINA.jpg ! alt :  ! title : 43-JA0010364-AGUAMARINA ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/43-JA0010364-AZUL.jpg ! alt :  ! title : 43-JA0010364-AZUL ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/43-JA0010364-BLANCO.jpg ! alt :  ! title : 43-JA0010364-BLANCO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/43-JA0010364-NARANJA.jpg ! alt :  ! title : 43-JA0010364-NARANJA ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/43-JA0010364-NEGRO.jpg ! alt :  ! title : 43-JA0010364-NEGRO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/43-JA0010364-ROJO.jpg ! alt :  ! title : 43-JA0010364-ROJO ! desc :  ! caption : ,,https://decohouse.com.co/producto/maceta-synue/,simple,,Jardinería|Jardinería > Macetas|Jardinería > Macetas > Macetas Plasticas,hogar|jardinería|MATERO,,,Amarillo|Azul Oscuro|Blanco|Dorado|Fucsia|Naranja|Negro|Rojo|Verde Acido|Verde Fluorescente|Verde Oscuro|Violeta,0|1|1,
MATERO P14,matero,,1297,"Matero P14 en plástico, tenemos gran variedad en colores.

¡No te quedes sin la tuya, todos nuestros productos son garantizados!",MATERIAL: PLASTICO,publish,,0,2021-06-06 23:16:23,1,closed,JA0010151,,,no,no,100,2300,,,14,,12,,,instock,no,no,,yes,taxable,1770,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0010151.png ! alt :  ! title : JA0010151 ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-AMARILLO.jpg ! alt :  ! title : 44-JA0010151-AMARILLO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-AZUL.jpg ! alt :  ! title : 44-JA0010151-AZUL ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-AZUL-OSCURO.jpg ! alt :  ! title : 44-JA0010151-AZUL-OSCURO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-BLANCO.jpg ! alt :  ! title : 44-JA0010151-BLANCO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-CAFE.jpg ! alt :  ! title : 44-JA0010151-CAFE ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-FUCSIA.jpg ! alt :  ! title : 44-JA0010151-FUCSIA ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-ROJO.jpg ! alt :  ! title : 44-JA0010151-ROJO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-ROJP.jpg ! alt :  ! title : 44-JA0010151-ROJP ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-VERDE.jpg ! alt :  ! title : 44-JA0010151-VERDE ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-VERDE-ACIDO.jpg ! alt :  ! title : 44-JA0010151-VERDE-ACIDO ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/44-JA0010151-VERDEOSCURO.jpg ! alt :  ! title : 44-JA0010151-VERDEOSCURO ! desc :  ! caption : ,,https://decohouse.com.co/producto/matero/,simple,,Jardinería|Jardinería > Macetas|Jardinería > Macetas > Macetas Plasticas,hogar|jardinería|MATERO,,,Amarillo|Azul Oscuro|Blanco|Dorado|Fucsia|Naranja|Negro|Rojo|Verde Acido|Verde Fluorescente|Verde Oscuro|Violeta,0|1|1,
MATERO P14D,matero-p14d,,1342,"Matero P14D en plástico resistente, tenemos gran variedad de colores.",MATERIAL: PLASTICO,publish,,0,2021-06-06 23:53:00,1,closed,JA0012576,,,no,no,50,8900,,8900,12,,14,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0012576-2.png ! alt :  ! title : JA0012576-2 ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/JA0012576-AMARILLO_1.jpg ! alt :  ! title : JA0012576-AMARILLO_1 ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/JA0012576-negro.jpg ! alt :  ! title : JA0012576-negro ! desc :  ! caption : ,,https://decohouse.com.co/producto/matero-p14d/,simple,,Jardinería,hogar|jardinería|MATERO|Plastico,,,Amarillo|Amarillo mostaza|Beige|Blanco|Dorado|Gris|Lila|Negro|Verde Oscuro,0|1|1,
CASA DE GATO G4,casa-de-gato-g4,,1409,"Hermosa casa de gato, para la comodidad de nuestras mascotas.","MATERIAL: MADERA

MEDIDAS

ALTO: 42 CM

ANCHO: 35 CM",publish,,0,2021-06-07 1:48:56,1,closed,HO0250038,,,no,no,20,219900,,,,35,42,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/HO0250038.jpg ! alt :  ! title : HO0250038 ! desc :  ! caption : ,,https://decohouse.com.co/producto/casa-de-gato-g4/,simple,,Madera,CASA GATO|hogar|MASCOTAS,,,,,
CASA DE GATO 2 NIVELES,casa-de-gato-2-niveles,,1411,"Hermosa casa de gato, para la comodidad de nuestras mascotas.","MATERIAL: MADERA

MEDIDAS

ALTO: 65 CM

ANCHO: 35 CM",publish,,0,2021-06-07 2:02:18,1,closed,HO0250037,,,no,no,20,279900,,,,35,65,,,instock,no,no,,yes,taxable,2065,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/HO0250037.jpg ! alt :  ! title : HO0250037 ! desc :  ! caption : ,,https://decohouse.com.co/producto/casa-de-gato-2-niveles/,simple,,Madera,CASA DE GATO|hogar|MASCOTAS,,,,,
JARDINERA MATRI X 80 CM,jard-matri,,1462,"Jardinera matri x 80 cm con plata, para decorar y organizar nuestros jardines.
Material: plastico",MATERIAL: PLASTICO,publish,,0,2021-06-08 1:55:07,1,closed,JA0020040,,,no,no,25,71500,,,80,,20,,,instock,no,no,,yes,taxable,,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/JA0020040-TERRA.jpg ! alt :  ! title : JA0020040-TERRA ! desc :  ! caption : ,,https://decohouse.com.co/producto/jard-matri/,simple,,Jardinería,hogar|jardinería|Plantas,,,Barro,0|1|0,
BALDE ALUMINIO,balde-aluminio,,1773,Balde en aluminio.,MATERIAL: ALUMINIO,publish,,0,2021-06-23 16:34:15,1,closed,DE0011279,,,no,no,,21900,,,,,,,,instock,no,no,,no,taxable,1242|1191|1200|1342,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/marteeoog.jpg ! alt :  ! title : marteeoog ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/hhh.jpg ! alt :  ! title : hhh ! desc :  ! caption : ,,https://decohouse.com.co/producto/balde-aluminio/,simple,,Jardinería|Jardinería > Macetas,Decoración|hogar|jardinería,,,COBRE|Dorado|Negro|Rojo|Verde Oscuro,0|1|0,
JARRÓN DECORATIVO,jarron-decorativo-3,,1776,"Jarrón decorativo, ideal para decorar nuestros espacios.
Material: Metal
Sus medidas son: Alto: 30 cm, Ancho 31 cm.",,publish,,0,2021-06-23 16:39:42,1,closed,DE0171307,,,no,no,30,129900,,,,,,,,instock,no,no,,yes,taxable,1439,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0171307.jpg ! alt :  ! title : DE0171307 ! desc :  ! caption :  | https://decohouse.com.co/wp-content/uploads/2021/06/COPAAA.jpg ! alt :  ! title : COPAAA ! desc :  ! caption : ,,https://decohouse.com.co/producto/jarron-decorativo-3/,simple,,Decoración|jarrones,Decoración|hogar|Jarron,,,,,
BUDA DECORATIVO,buda-decorativo-2,,1841,"Buda acostado decorativo, Decora tu espacio favorito con esta hermosa figura que traerá la sabiduría, armonía, serenidad a tú hogar.
Material: Poliresina",MATERIAL: POLIRESINA,publish,,0,2021-06-24 20:44:35,1,closed,DE0180605,,,no,no,30,62000,,,,11,34,,,instock,no,no,,yes,taxable,1864|3686,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0180605-BRONCE-removebg-preview.png ! alt :  ! title : DE0180605-BRONCE-removebg-preview ! desc :  ! caption : ,,https://decohouse.com.co/producto/buda-decorativo-2/,simple,,Decoración|FIGURAS DECORATIVAS,Decoración|FIGURA|hogar,,,Bronce|Café,0|1|0,
ELEFANTE DECORATIVO,elefante-decorativo-5,,1843,"Elefante decorativo, perfecto para decorar nuestros espacios.
Material: Poliresina",MATERIAL:  POLIRESINA,publish,,0,2021-06-24 20:48:38,1,closed,DE0180606,,,no,no,10,27000,,,,20,20,,,instock,no,no,,yes,taxable,1733,,,,,-1,-1,,,https://decohouse.com.co/wp-content/uploads/2021/06/DE0180606-removebg-preview.png ! alt :  ! title : DE0180606-removebg-preview ! desc :  ! caption : ,,https://decohouse.com.co/producto/elefante-decorativo-5/,simple,,Decoración,CERÁMICA|Decoración|Elefante|FIGURA|hogar,,,,,
